Attack,Samples,Detected,Recall
Heartbleed,11,11,100.0
DoS Hulk,230124,144383,62.74139159757348
DoS slowloris,5796,2968,51.20772946859904
Infiltration,36,17,47.22222222222222
DDoS,128025,52408,40.93575473540324
DoS GoldenEye,10293,3590,34.878072476440295
DoS Slowhttptest,5499,1387,25.222767775959266
Bot,1956,38,1.9427402862985685
PortScan,158804,118,0.07430543311251606
FTP-Patator,7935,0,0.0
SSH-Patator,5897,0,0.0
Web Attack � Brute Force,1507,0,0.0
Web Attack � Sql Injection,21,0,0.0
Web Attack � XSS,652,0,0.0
